bioproject_label,bioproject_label_id,bioproject_url,project_tilte,project_description,is_relevance_industrial,is_relevance_environmental,relevance_other,is_relevance_agricultural,is_relevance_model_organism,is_relevance_evolution
PRJNA968043,968043,https://www.ncbi.nlm.nih.gov/bioproject/968043,Methylomonas sp. OY6 Genome sequencing and assembly,"Methylomonas defluvii strain OY6, complete genome",,,,,,
PRJEB52406,955529,https://www.ncbi.nlm.nih.gov/bioproject/955529,High resolution sampling of freshwater reservoir in Czech Republic,"A high-resolution sampling of Rimov reservoir during the spring of 2018. Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )",,,,,,
PRJNA954998,954998,https://www.ncbi.nlm.nih.gov/bioproject/954998,Methylomonas sp. UP202 Genome sequencing and assembly,Project aims to enrich and isolate methanotrophs from environment such as sediment. The relevance of this project is that methanotrophs are useful for conversion of methane into single cell protein (SCP) for industrial applications.,True,,,,,
PRJNA951443,951443,https://www.ncbi.nlm.nih.gov/bioproject/951443,Oxford Nanopore sequencing reads for genome assembly of the methane biofilter isolate Methylococcus capsulatus (Norfolk),"Oxford Nanopore sequencing long read data generated from the DNA of the methanotrophic isolate Methylococcus capsulatus (Norfolk), originally isolated from a landfill methane biofilter.",,True,,,,
PRJNA951440,951440,https://www.ncbi.nlm.nih.gov/bioproject/951440,Oxford Nanopore sequencing reads for genome assembly of the methane biofilter isolate Methylocaldum szegediense (Norfolk),"Oxford Nanopore sequencing long read data generated from the DNA of the methanotrophic isolate Methylocaldum szegediense (Norfolk), originally isolated from a landfill methane biofilter.",,True,,,,
PRJEB60078,944039,https://www.ncbi.nlm.nih.gov/bioproject/944039,Draft genome sequence of a biofilter Methylococcus isolate,"A methanotroph, Methylococcus capsulatus (Norfolk), was isolated from the soil of a functioning landfill methane biofilter. The genome of this isolate was then sequenced and annotated.",,,,,,
PRJNA930646,930646,https://www.ncbi.nlm.nih.gov/bioproject/930646,Metabolic handoffs between multiple symbionts of deep-sea mussel Idas modiolaeformis,"Bathymodioline mussels rely on thiotrophic and methanotrophic chemosynthetic symbionts for nutrition, yet, secondary heterotrophic symbionts are often present and play an unknown role in the fitness of the organism. Here we curated metagenome-assembled genomes of I. modiolaeformis symbionts and used genome-centered metatranscriptomics and metaproteomics to assess the key functions of the secondary symbionts. Our findings indicate that these flexible associations allow for expanding the range of substrates and environmental niches, via new metabolic functions and handoffs.",,True,,,,
PRJNA916534,916534,https://www.ncbi.nlm.nih.gov/bioproject/916534,Antarctic methanotrophic enrichments,Metagenomic analysis of Antarctic methanotrophic enrichments,,True,,,,
PRJDB11753,910691,https://www.ncbi.nlm.nih.gov/bioproject/910691,"Genome analysis of a novel marine methanotroph, Methylomarinum sp. JGM","A novel species of the genus Methylomarinum (Gammaproteobacteria), strain JGM, is a mesophilic, aerobic methane-oxidizing bacterium. Strain JGM was isolated from a shallow-water seabed in Tokyo Bay. Draft genome sequence was determined.",,True,,,,
PRJDB11751,910690,https://www.ncbi.nlm.nih.gov/bioproject/910690,"Genome analysis of a novel marine methanotroph, Methylomarinum sp. IN20","A novel species of the genus Methylomarinum (Gammaproteobacteria), strain IN20, is a mesophilic, aerobic methane-oxidizing bacterium. Strain IN20 was isolated from the Iheya North deep-sea hydrothermal field in the mid-Okinawa Trough. Complete genome sequence was determined.",,True,,,,
PRJDB11749,910689,https://www.ncbi.nlm.nih.gov/bioproject/910689,"Genome analysis of a novel marine methanotroph, Methylomarinovum sp. IN45","A novel species of the genus Methylomarinovum (Gammaproteobacteria), strain IN45, is a moderately thermophilic, aerobic methane-oxidizing bacterium. Strain IN45 was isolated from the Iheya North deep-sea hydrothermal field in the mid-Okinawa Trough.",,True,,,,
PRJDB11745,910688,https://www.ncbi.nlm.nih.gov/bioproject/910688,"Genome analysis of a marine methanotroph, Methylobacter marinus MR1","A novel strain of Methylobacter marinus (Gammaproteobacteria), MR1, is a mesophilic, aerobic methane-oxidizing bacterium. Strain MR1 was isolated from the deep-sea sediment core collected from off Shimokita Peninsula, Japan.",,True,,,,
PRJDB11744,910687,https://www.ncbi.nlm.nih.gov/bioproject/910687,"Genome analysis of a marine methanotroph, Methylomarinovum caldicuralii IT-9","Methylomarinovum caldicuralii strain IT-9 is a moderately thermophilic, aerobic methane-oxidizing bacterium. Strain IT-9 was isolated from hot vent fluid at a shallow-submarine hydrothermal system off Taketomi Island, Okinawa, Japan. Complete genome sequence was determined.",,True,,,,
PRJEB56877,906865,https://www.ncbi.nlm.nih.gov/bioproject/906865,Role of inflow bacteria for microbial resilience in small waterbodies,"This project contains metagenomic and 16S rRNA data from a mesocosm experiment conducted at the site of Jiřická Pond in Novohradské mountains, Czechia, in May 2019. This experiment was performed to investigate the role of the inflow stream microbiome in the establishment of pond microbial communities, in the presence and absence of light. Stream water and pond water captured in mesocosms was incubated in the pond environment and monitored for four weeks.",,,,,,
PRJNA898492,898492,https://www.ncbi.nlm.nih.gov/bioproject/898492,Methylococcus sp. 16-5 Genome sequencing,Isolation of a methane oxidizing bacterium,,True,,,,
PRJNA883059,883059,https://www.ncbi.nlm.nih.gov/bioproject/883059,Methylobacter psychrophilus strain:Z-0021 | isolate:DSM 9914 Genome sequencing and assembly,"This study aims to provide draft genome assembly of psychrophilic tundra methanotroph, Methylobacter psychrophilus Z-0021 (DSM9914).",,True,,,,
