Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR24044086,2023-04-02 21:13:21,2023-04-02 21:10:29,21799,80632259,0,3698,70,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR024/24044/SRR24044086/SRR24044086.1,SRX19846029,30282E_Mc_Long,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP430515,PRJNA951443,,951443,SRS17205117,SAMN34042563,simple,414,Methylococcus capsulatus,30282E_Mc_Long,,,,,,,no,,,,,UNIVERSITY OF EAST ANGLIA,SRA1614510,,public,4D719BB3F63ED0280C6FF0FDD9DCFE7D,CA5A1801DE049C7D0329D55011C68823
SRR24044054,2023-04-02 21:00:26,2023-04-02 20:49:20,190742,667801665,0,3501,586,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR024/24044/SRR24044054/SRR24044054.1,SRX19845997,30284E_Msz_Long,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP430512,PRJNA951440,,951440,SRS17205085,SAMN34042528,simple,73780,Methylocaldum szegediense,30284E_Msz_Long,,,,,,,no,,,,,UNIVERSITY OF EAST ANGLIA,SRA1614503,,public,228EC71BF0369300778D49D94828514C,3BD0FE77B8ECD11563B4D2A06D565156
SRR18911445,2022-04-26 12:44:40,2022-04-26 11:54:41,27891869,8349011018,27891869,299,2560,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18911/SRR18911445/SRR18911445.lite.1,SRX14989385,CT1,Hi-C,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP372102,PRJNA830509,,830509,SRS12738581,SAMN27728138,simple,418,Methylomonas sp.,CT1,,,,,,,no,,,,,SOUTHEAST UNIVERSITY,SRA1409307,,public,E30BFBAD54FF1124D63A96A29456721C,3F62F7F324620248B944A2C57CFFC13E
SRR13734254,2021-02-17 16:51:13,2021-02-17 16:36:26,232890,3931448741,0,16881,3389,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13734/SRR13734254/SRR13734254.lite.1,SRX10121821,EFPC1_L,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP306889,PRJNA701963,,701963,SRS8276477,SAMN17918466,simple,2812647,Methylomonas sp. EFPC1,EFPC1,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA1196969,,public,BA314EB2123E13BBD19BDD2F24033D0A,7D7ACDAF0995A836A781121F9A27EB71
SRR13734255,2021-02-17 16:51:13,2021-02-17 16:21:08,1115269,559865038,1115269,502,299,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13734/SRR13734255/SRR13734255.lite.1,SRX10121820,EFPC1_S,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306889,PRJNA701963,,701963,SRS8276477,SAMN17918466,simple,2812647,Methylomonas sp. EFPC1,EFPC1,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA1196969,,public,120F1901B0A4DF28042082DA9B682BE6,37E4B0A30849E6D4A8CA6202E7884A7A
SRR13734252,2021-02-17 16:51:13,2021-02-17 16:39:32,136052,3298471656,0,24244,2827,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13734/SRR13734252/SRR13734252.lite.1,SRX10121823,EFPC2_L,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP306889,PRJNA701963,,701963,SRS8276478,SAMN17918467,simple,2812648,Methylococcus sp. EFPC2,EFPC2,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA1196969,,public,C3F99468E93690C03DCE89E2C59BDEA0,87D932308E218E9020D0F93FC8904B34
SRR13734253,2021-02-17 16:51:13,2021-02-17 16:21:15,1189841,597300182,1189841,502,332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13734/SRR13734253/SRR13734253.lite.1,SRX10121822,EFPC2_S,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306889,PRJNA701963,,701963,SRS8276478,SAMN17918467,simple,2812648,Methylococcus sp. EFPC2,EFPC2,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA1196969,,public,DC7E9216C29B50B572C97725B4E866E6,4D0217F2168F75F6B090E3FD6F2D9CE5
SRR23117492,2023-04-11 16:43:57,2023-01-19 01:37:09,365722,1941773419,0,5309,1677,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23117/SRR23117492/SRR23117492.1,SRX19068434,EFPC3,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP306889,PRJNA701963,,701963,SRS16484104,SAMN32781761,simple,3021710,Methylomonas sp. EFPC3,EFPC3,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA1576452,,public,15201E8A4F21AECBA67E4C5CB4F97639,8871CAB0D36290D49334344CB731B3D2
SRR21672867,2022-10-03 08:20:48,2022-09-22 06:45:26,183050,73348998,183050,400,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21672/SRR21672867/SRR21672867.lite.1,SRX17671204,M_psych,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP398626,PRJNA883059,,883059,SRS15203178,SAMN30959511,simple,96941,Methylobacter psychrophilus,M_psych_genome,,,,,,,no,,,,,TAMPERE UNIVERSITY,SRA1503326,,public,277560A12D47FABE0E0B3405F6BEF774,A0A47E17B9C6096D8B35FD66EB02F7F1
SRR19092005,2022-05-05 10:12:39,2022-05-05 10:10:15,230762,1756086744,0,7609,1314,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR019/19092/SRR19092005/SRR19092005.1,SRX15161675,nanopore_mc_mir,WGS,unspecified,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP373764,PRJNA835301,,835301,SRS12903660,SAMN28099229,simple,414,Methylococcus capsulatus,Mc_MIR,,,,,,,no,,,,,RESEARCH CENTER OF BIOTECHNOLOGY RAS,SRA1415120,,public,E2A423878C949DEC0E2B93A266D11FB7,518AE9A871471FA7D38C771BCC468C29
