"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX20019450","Genome of Methylomonas sp. UP202","Methylomonas sp. UP202","Illumina MiSeq","National University of Singapore","SRP433482","Methylomonas sp. UP202 Genome sequencing and assembly","SRS17361029","","765.5","1","2177002","1310555204","UP202-Illumina","WGS","GENOMIC","RANDOM"
"SRX20019449","Genome of Methylomonas sp. UP202","Methylomonas sp. UP202","GridION","National University of Singapore","SRP433482","Methylomonas sp. UP202 Genome sequencing and assembly","SRS17361029","","499.18","1","134811","594329239","UP202-Nanopore","WGS","GENOMIC","RANDOM"
"SRX19846029","Oxford Nanopore sequencing reads generated from Methylococcus capsulatus (Norfolk) DNA","Methylococcus capsulatus","GridION","University of East Anglia","SRP430515","Oxford Nanopore sequencing reads for genome assembly of the methane biofilter isolate Methylococcus capsulatus (Norfolk)","SRS17205117","","70.65","1","21799","80632259","30282E_Mc_Long","WGS","GENOMIC","RANDOM"
"SRX19845997","Oxford Nanopore sequencing of Methylocaldum szegediense (Norfolk) DNA","Methylocaldum szegediense","GridION","University of East Anglia","SRP430512","Oxford Nanopore sequencing reads for genome assembly of the methane biofilter isolate Methylocaldum szegediense (Norfolk)","SRS17205085","","586.66","1","190742","667801665","30284E_Msz_Long","WGS","GENOMIC","RANDOM"
"ERX10599318","Illumina NovaSeq 6000 paired end sequencing","Methylococcus capsulatus","Illumina NovaSeq 6000","university of east anglia","ERP145126","Draft genome sequence of a biofilter Methylococcus isolate","ERS14846032","","0","1","0","0","","WGS","GENOMIC","PCR"
"ERX10599316","Illumina NovaSeq 6000 paired end sequencing","Methylocaldum szegediense","Illumina NovaSeq 6000","university of east anglia","ERP137417","Draft genome sequence of a biofilter Methylocaldum isolate","ERS14846031","","0","1","0","0","","WGS","GENOMIC","PCR"
"SRX19068434","WGS of Methylomonas sp. EFPC3","Methylomonas sp. EFPC3","GridION","University of Michigan","SRP306889","Characterization of methanotrophs from mercury contaminated streams","SRS16484104","","1677.76","1","365722","1941773419","EFPC3","WGS","GENOMIC","RANDOM"
"SRX17671204","DNA seq of Methylobacter psychrophilus Z-0021","Methylobacter psychrophilus","NextSeq 550","Tampere University","SRP398626","Methylobacter psychrophilus strain:Z-0021 | isolate:DSM 9914 Genome sequencing","SRS15203178","","41.15","1","183050","73348998","M_psych","WGS","GENOMIC","RANDOM"
"SRX17212138","RNAseq of 20ZX-3HB in methane and xylose","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14779022","","483.68","1","12954479","1681552939","20ZX-3HB-MX1","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17211806","RNAseq of 20ZX-3HB in methane_2nd","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14776817","","851.57","1","14804712","2990551824","20ZX-3HB_M2","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17211802","RNAseq of 20ZX-3HB-Y-T7 in methane and xylose_2nd","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14778941","","997.51","1","16379755","3308710510","20ZX-3HB-Y-T7_MX2","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17211801","RNAseq of 20ZX-3HB in methane and xylose_2nd","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14779022","","828.69","1","14455588","2920028776","20ZX-3HB_MX2","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17211684","RNAseq of 20ZX-3HB-Y-T7 in methane and xylose","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14778941","","779.32","1","12771757","2579894914","20ZX-3HB-Y-T7-MX1","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17208999","RNAseq of M. alcaliphium 20ZX-3HB-Y-T7 in methane","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14777280","","818.48","1","13954100","2818728200","20ZX-3HB-Y-T7-M1","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17208998","RNAseq of 20ZX-3HB-Y-T7 in methane-2nd","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14777280","","663.97","1","10961216","2214165632","20ZX-3HB-Y-T7-M2","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17208524","RNA-seq of 20ZX-3HB in methane","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2500","Kyung Hee University","SRP393957","Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose","SRS14776817","","768.37","1","13496265","2726245530","20ZX-ABH-M1","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"SRX17159374","amplicon of microbe:soil","Methylococcus","Illumina HiSeq 2500","Northwest A&F University","SRP393169","P-mobilizing bacteria","SRS14730841","","16.86","1","121692","60237540","FZTD16102948","AMPLICON","GENOMIC","PCR"
"SRX15161675","Genome of Mc. capsulatus MIR","Methylococcus capsulatus","MinION","Research Center of Biotechnology RAS","SRP373764","Methylococcus capsulatus strain:MIR Genome sequencing","SRS12903660","","1314.37","1","230762","1756086744","nanopore_mc_mir","WGS","GENOMIC","unspecified"
"SRX15161674","Genome of Mc. capsulatus MIR","Methylococcus capsulatus","Illumina MiSeq","Research Center of Biotechnology RAS","SRP373764","Methylococcus capsulatus strain:MIR Genome sequencing","SRS12903660","","584.53","1","1871556","1126676712","illumina_mc_mir","WGS","GENOMIC","unspecified"
"SRX14989389","microorganisms of water: OT2","Methylomonas sp.","HiSeq X Ten","Southeast University","SRP372102","Microbial environmental genome in microbial electrochemical system under electron influence","SRS12738585","","2330.9","1","25407986","7608413296","OT2","Hi-C","METAGENOMIC","PCR"
"SRX14989385","microorganisms of water: CT1","Methylomonas sp.","HiSeq X Ten","Southeast University","SRP372102","Microbial environmental genome in microbial electrochemical system under electron influence","SRS12738581","","2560.46","1","27891869","8349011018","CT1","Hi-C","METAGENOMIC","PCR"
"SRX13760759","RNAseq of MC Bath - NMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1241.51","1","41317872","4107920398","NMS_42_1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760758","RNAseq of MC Bath - NMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1109.86","1","37662760","3749235141","NMS_37_3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760757","RNAseq of MC Bath - NMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1190.92","1","40111712","3993996373","NMS_37_2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760756","RNAseq of MC Bath - NMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1330.5","1","44520859","4426093887","NMS_37_1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760755","RNAseq of MC Bath - AMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1135.83","1","37960446","3773358524","AMS_42_3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760754","RNAseq of MC Bath - AMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1233.15","1","41472498","4124462829","AMS_42_2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760753","RNAseq of MC Bath - AMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1234.34","1","40209650","3998090831","AMS_42_1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760752","RNAseq of MC Bath - AMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1336.78","1","42642147","4242766207","AMS_37_3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760751","RNAseq of MC Bath - NMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1184.52","1","38600759","3835810842","NMS_42_3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760750","RNAseq of MC Bath - NMS - 42C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1182.26","1","37760898","3752264141","NMS_42_2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760749","RNAseq of MC Bath - AMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1274.87","1","41697202","4148631757","AMS_37_2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13760748","RNAseq of MC Bath - AMS - 37C","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","University of Illinois Urbana Champaign","SRP354744","Methylococcus capsulatus str. Bath Raw sequence reads","SRS11637953","","1575.62","1","52867310","5261483964","AMS_37_1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX13465499","GSM5745243: 0.75%h2s 3; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362867","","966.08","1","31367035","3096123441","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465498","GSM5745242: 0.75%h2s 2; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362868","","1699.65","1","55133518","5475810357","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465497","GSM5745241: 0.75%h2s 1; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362865","","1332.5","1","42384756","4209582926","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465496","GSM5745240: 0.5%h2s 3; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362866","","1036.02","1","33567250","3334256398","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465495","GSM5745239: 0.5%h2s 2; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362864","","1131.14","1","36693983","3641928478","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465494","GSM5745238: 0.5%h2s 1; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362863","","966.52","1","31378883","3106712709","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465493","GSM5745237: 0.1%h2s 3; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362862","","1051.53","1","34053265","3374536611","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465492","GSM5745236: 0.1%h2s 2; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362861","","707.24","1","23051068","2243845564","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465491","GSM5745235: 0.1%h2s 1; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362860","","875.82","1","28422332","2807590939","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465490","GSM5745234: h2s shock3; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362858","","670.3","1","21714211","2138482673","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465489","GSM5745233: h2s shock2; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362859","","557.37","1","17933271","1775797100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465488","GSM5745232: h2s shock1; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362856","","284.16","1","9173599","901527746","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465487","GSM5745231: control3; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362857","","1254.21","1","40708553","4033541165","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465486","GSM5745230: control2; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362855","","503.34","1","16263628","1604478727","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13465485","GSM5745229: control1; Methylococcus capsulatus str. Bath; RNA-Seq","Methylococcus capsulatus str. Bath","Illumina NovaSeq 6000","GEO","SRP351861","Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus","SRS11362854","","1278.9","1","41516903","4119635272","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139364","GSM5690628: BG8-2d-PSS-B; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","NextSeq 550","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072552","","1096.79","1","38242211","3250587935","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139363","GSM5690627: BG8-2d-PSS-A; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072551","","2626.24","1","24611049","7383314700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139362","GSM5690626: BG8-CH4-B; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","NextSeq 550","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072549","","1337.96","1","47051322","3999362370","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139361","GSM5690625: BG8-CH4-A; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072548","","2160.08","1","19873329","5961998700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139360","GSM5690624: BG8-PSS-B; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072550","","2608.48","1","24473600","7342080000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139359","GSM5690623: BG8-PSS-A; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072547","","1405.01","1","13329204","3998761200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139358","GSM5690622: BG8 O2 B; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072546","","10903.78","1","101900565","30570169500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX13139357","GSM5690621: BG8 O2 A; Methylomicrobium album BG8; RNA-Seq","Methylomicrobium album BG8","HiSeq X Ten","GEO","SRP346133","Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation","SRS11072545","","3570.94","1","33389242","10016772600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12548111","RNA-Seq of Methylomonas sp. DH-1: response to oxygen concentration change","Methylomonas sp. DH-1","Illumina HiSeq 4000","Korea Institute of Energy Research","SRP340645","Response of Methylomonas sp DH-1 to oxygen concentration change","SRS3037585","","6619.82","1","74554752","15060059904","CP014360.1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"DRX171002","GridION sequencing of SAMD00172935","Methylomagnum ishizawai","GridION","NAGOYA","DRP007342","Genome sequencing of methane-oxidizing bacterium Methylomagnum ishizawai RS11D-Pr","DRS186088","","2839.17","1","294925","3482905081","JCM18894_nanopore","WGS","GENOMIC","RANDOM"
"DRX171001","NextSeq 500 paired end sequencing of SAMD00172935","Methylomagnum ishizawai","NextSeq 500","NAGOYA","DRP007342","Genome sequencing of methane-oxidizing bacterium Methylomagnum ishizawai RS11D-Pr","DRS186088","","115.95","1","1882563","284930598","JCM18894","WGS","GENOMIC","RANDOM"
"DRX171000","GridION sequencing of SAMD00172921","Methylogaea oryzae JCM 16910","GridION","NAGOYA","DRP007341","Genome sequencing of methane-oxidizing bacterium Methylogaea oryzae JCM16910","DRS186087","","2204.79","1","299333","2704609806","JCM16910_nanopore","WGS","GENOMIC","RANDOM"
"DRX170999","NextSeq 500 paired end sequencing of SAMD00172921","Methylogaea oryzae JCM 16910","NextSeq 500","NAGOYA","DRP007341","Genome sequencing of methane-oxidizing bacterium Methylogaea oryzae JCM16910","DRS186087","","147.34","1","2408301","364599901","JCM16910","WGS","GENOMIC","RANDOM"
"SRX11002493","Genome sequence of Methylobacter sp. strain S3L5C. Short reads.","Methylobacter sp. S3L5C","Illumina NovaSeq 6000","Tampere University","SRP321538","Methylobacter sp. S3L5C Genome sequencing","SRS9076713","","463.03","1","4836144","1450843200","S3L5C_shortreads","WGS","GENOMIC","RANDOM"
"SRX11002492","Genome sequence of Methylobacter sp. strain S3L5C. Long reads.","Methylobacter sp. S3L5C","Sequel","Tampere University","SRP321538","Methylobacter sp. S3L5C Genome sequencing","SRS9076713","","331.3","1","156572","1375549066","S3L5C_longreads","WGS","GENOMIC","RANDOM"
"DRX169044","GridION sequencing of SAMD00171893","Methylomonas koyamae","GridION","NAGOYA","DRP007302","Genome sequencing of methane-oxidizing bacterium Methylomonas koyamae Fw12E-Y","DRS185105","","411.28","1","202811","521404917","JCM16701_Nanopore","WGS","GENOMIC","RANDOM"
